,Timestamp,Node,Subsystem,Message,Type,Tuple
30985,1171365076,tg-c401,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,computation,304
30986,1171365076,tg-c401,DEV,+Platform PCI Component Error Info Section,computation,304
30987,1171365076,tg-c401,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,304
30988,1171365076,tg-c401,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,304
30989,1171365076,tg-c401,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,304
30990,1171365076,tg-c401,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,304
30991,1171365076,tg-c401,DEV,+ Platform Specific Error Detail:,computation,304
30992,1171365125,tg-c401,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,computation,304
30993,1171365125,tg-c401,DEV,+Platform PCI Component Error Info Section,computation,304
30994,1171365125,tg-c401,DEV,+Platform Specific Error Info Section,computation,304
30995,1171365125,tg-c401,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,304
30996,1171365125,tg-c401,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,304
30997,1171365125,tg-c401,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,304
30998,1171365125,tg-c401,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,304
30999,1171365125,tg-c401,DEV,+ Platform Specific Error Detail:,computation,304
31000,1171365125,tg-c401,MEM,"Physical Address x, Address Mask: x, Node: x, Card: x, Module: x, Bank: x, Device: x, Row: x, Column: x,",computation,304
31001,1171365125,tg-c401,MEM,"Physical Address x, Address Mask: x, Node: x, Card: x, Module: x, Bank: x, Device: x, Row: x, Column: x,",computation,304
31002,1171365264,tg-c401,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,computation,304
31003,1171365264,tg-c401,DEV,+Platform PCI Component Error Info Section,computation,304
31004,1171365264,tg-c401,DEV,+Platform Specific Error Info Section,computation,304
31005,1171365264,tg-c401,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,304
31006,1171365264,tg-c401,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,304
31007,1171365264,tg-c401,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,304
31008,1171365264,tg-c401,DEV,"Component Info: Vendor Id =x x, Device Id =x x, Class Code =x x, Seg Bus Dev Func =x x x x x",computation,304
31009,1171365264,tg-c401,DEV,+ Platform Specific Error Detail:,computation,304
31010,1171365264,tg-c401,MEM,"Physical Address x, Address Mask: x, Node: x, Card: x, Module: x, Bank: x, Device: x, Row: x, Column: x,",computation,304
31011,1171365264,tg-c401,MEM,"Physical Address x, Address Mask: x, Node: x, Card: x, Module: x, Bank: x, Device: x, Row: x, Column: x,",computation,304
31012,1171365271,tg-c401,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,computation,304
31013,1171365271,tg-c401,DEV,+Platform PCI Component Error Info Section,computation,304
