,Window,Tuples
0,1,210
1,2,153
2,3,151
3,4,151
4,5,151
5,6,151
6,7,151
7,8,151
8,9,151
9,10,151
10,11,151
11,12,150
12,13,150
13,14,149
14,15,147
15,16,147
16,17,146
17,18,145
18,19,145
19,20,145
20,21,145
21,22,143
22,23,143
23,24,143
24,25,143
25,26,143
26,27,143
27,28,143
28,29,143
29,30,143
30,31,143
31,32,143
32,33,143
33,34,143
34,35,141
35,36,141
36,37,141
37,38,141
38,39,141
39,40,141
40,41,141
41,42,141
42,43,140
43,44,139
44,45,139
45,46,139
46,47,139
47,48,139
48,49,139
49,50,138
50,51,138
51,52,138
52,53,138
53,54,138
54,55,138
55,56,138
56,57,137
57,58,136
58,59,135
59,60,135
60,61,135
61,62,135
62,63,135
63,64,134
64,65,132
65,66,132
66,67,132
67,68,131
68,69,131
69,70,131
70,71,126
71,72,125
72,73,125
73,74,125
74,75,125
75,76,125
76,77,125
77,78,124
78,79,124
79,80,124
80,81,124
81,82,124
82,83,124
83,84,124
84,85,124
85,86,124
86,87,124
87,88,124
88,89,123
89,90,123
90,91,122
91,92,122
92,93,121
93,94,121
94,95,121
95,96,121
96,97,121
97,98,121
98,99,120
99,100,120
100,101,119
101,102,119
102,103,119
103,104,119
104,105,118
105,106,118
106,107,118
107,108,118
108,109,118
109,110,117
110,111,117
111,112,117
112,113,117
113,114,117
114,115,117
115,116,117
116,117,117
117,118,117
118,119,117
119,120,117
120,121,116
121,122,116
122,123,116
123,124,116
124,125,116
125,126,116
126,127,116
127,128,116
128,129,116
129,130,115
130,131,115
131,132,115
132,133,115
133,134,115
134,135,115
135,136,115
136,137,115
137,138,115
138,139,115
139,140,115
140,141,115
141,142,115
142,143,115
143,144,115
144,145,115
145,146,115
146,147,115
147,148,114
148,149,114
149,150,113
150,151,113
151,152,113
152,153,113
153,154,113
154,155,113
155,156,112
156,157,111
157,158,111
158,159,110
159,160,110
160,161,110
161,162,110
162,163,110
163,164,110
164,165,110
165,166,110
166,167,110
167,168,110
168,169,110
169,170,110
170,171,110
171,172,110
172,173,110
173,174,110
174,175,110
175,176,110
176,177,110
177,178,110
178,179,110
179,180,110
180,181,110
181,182,110
182,183,110
183,184,109
184,185,109
185,186,109
186,187,109
187,188,109
188,189,109
189,190,109
190,191,109
191,192,109
192,193,109
193,194,109
194,195,109
195,196,109
196,197,109
197,198,109
198,199,109
199,200,109
200,201,109
201,202,109
202,203,109
203,204,109
204,205,109
205,206,109
206,207,109
207,208,109
208,209,109
209,210,109
210,211,109
211,212,109
212,213,109
213,214,109
214,215,109
215,216,109
216,217,109
217,218,109
218,219,109
219,220,109
220,221,109
221,222,109
222,223,109
223,224,109
224,225,109
225,226,109
226,227,109
227,228,109
228,229,109
