,Timestamp,ID-Node,Rack,Midplane,Node,Card,Card type,Message,Tuple
0,1128641385,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39691: Link has been severed,0
1,1128641385,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:39692: Link has been severed,0
2,1128970796,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57643: Link has been severed,1
3,1128970796,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:57644: Link has been severed,1
4,1129165930,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
5,1129165930,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,2
6,1129166701,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
7,1129166701,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image,3
8,1129204957,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
9,1129204957,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image,4
10,1129208210,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/bandwidth.rts: invalid or missing program image,5
11,1129208210,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/bandwidth.rts: invalid or missing program image,5
12,1129208384,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/torus-latency.rts: invalid or missing program image,5
13,1129208384,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/torus-latency.rts: invalid or missing program image,5
14,1129291989,R71-M0-N4,R71,M0,N4,J18-U11,I-O,ciod: Error loading /bgl/apps/followup/RAPTOR/raptor.254.noprint: invalid or missing program image,6
15,1129291989,R71-M0-N4,R71,M0,N4,J18-U01,I-O,ciod: Error loading /bgl/apps/followup/RAPTOR/raptor.254.noprint: invalid or missing program image,6
