,Window,Tuples
0,1,679
1,2,362
2,3,347
3,4,330
4,5,321
5,6,299
6,7,293
7,8,282
8,9,276
9,10,274
10,11,269
11,12,267
12,13,264
13,14,260
14,15,256
15,16,251
16,17,246
17,18,244
18,19,242
19,20,236
20,21,232
21,22,229
22,23,223
23,24,215
24,25,211
25,26,208
26,27,204
27,28,198
28,29,194
29,30,193
30,31,191
31,32,189
32,33,187
33,34,184
34,35,182
35,36,178
36,37,174
37,38,174
38,39,173
39,40,173
40,41,173
41,42,170
42,43,169
43,44,167
44,45,166
45,46,164
46,47,162
47,48,161
48,49,160
49,50,159
50,51,159
51,52,159
52,53,158
53,54,158
54,55,157
55,56,155
56,57,155
57,58,155
58,59,155
59,60,154
60,61,154
61,62,153
62,63,153
63,64,151
64,65,150
65,66,150
66,67,148
67,68,145
68,69,145
69,70,145
70,71,143
71,72,142
72,73,142
73,74,140
74,75,138
75,76,138
76,77,138
77,78,136
78,79,136
79,80,135
80,81,135
81,82,135
82,83,135
83,84,134
84,85,133
85,86,133
86,87,131
87,88,131
88,89,131
89,90,130
90,91,130
91,92,130
92,93,129
93,94,129
94,95,129
95,96,129
96,97,129
97,98,127
98,99,127
99,100,127
100,101,127
101,102,127
102,103,127
103,104,127
104,105,127
105,106,127
106,107,127
107,108,127
108,109,126
109,110,126
110,111,126
111,112,125
112,113,125
113,114,125
114,115,124
115,116,124
116,117,124
117,118,124
118,119,124
119,120,124
120,121,124
121,122,123
122,123,122
123,124,122
124,125,122
125,126,122
126,127,122
127,128,122
128,129,122
129,130,122
130,131,122
131,132,122
132,133,122
133,134,122
134,135,122
135,136,122
136,137,122
137,138,122
138,139,122
139,140,121
140,141,121
141,142,121
142,143,121
143,144,121
144,145,121
145,146,121
146,147,121
147,148,121
148,149,121
149,150,121
150,151,121
151,152,121
152,153,121
153,154,120
154,155,119
155,156,119
156,157,119
157,158,119
158,159,119
159,160,119
160,161,119
161,162,119
162,163,119
163,164,119
164,165,119
165,166,119
166,167,119
167,168,119
168,169,119
169,170,119
170,171,119
171,172,119
172,173,119
173,174,119
174,175,119
175,176,119
176,177,119
177,178,119
178,179,119
179,180,119
180,181,119
181,182,119
182,183,119
183,184,119
184,185,119
185,186,119
186,187,119
187,188,119
188,189,119
189,190,119
190,191,119
191,192,119
192,193,119
193,194,119
194,195,119
195,196,119
196,197,119
197,198,119
198,199,119
199,200,119
200,201,119
201,202,119
202,203,119
203,204,119
204,205,119
205,206,119
206,207,119
207,208,119
208,209,119
209,210,118
210,211,118
211,212,118
212,213,118
213,214,118
214,215,118
215,216,118
216,217,118
217,218,118
218,219,118
219,220,118
220,221,118
221,222,118
222,223,118
223,224,118
224,225,117
225,226,117
226,227,117
227,228,117
228,229,115
229,230,115
230,231,115
231,232,115
232,233,115
233,234,115
234,235,115
235,236,115
236,237,115
237,238,114
238,239,114
239,240,114
240,241,114
241,242,114
242,243,114
243,244,114
244,245,114
245,246,113
246,247,113
247,248,113
248,249,113
249,250,113
250,251,113
251,252,113
252,253,113
253,254,113
254,255,113
255,256,113
256,257,113
257,258,113
258,259,113
259,260,113
260,261,113
261,262,113
262,263,113
263,264,113
264,265,113
265,266,113
266,267,113
267,268,113
268,269,113
269,270,113
270,271,113
271,272,113
272,273,113
273,274,113
274,275,113
275,276,113
276,277,113
277,278,113
278,279,113
279,280,113
280,281,113
281,282,113
282,283,113
283,284,113
284,285,113
285,286,113
286,287,113
287,288,113
288,289,113
289,290,113
290,291,113
291,292,113
292,293,113
293,294,113
294,295,113
295,296,113
296,297,113
297,298,113
298,299,113
299,300,113
300,301,113
301,302,113
302,303,112
303,304,112
304,305,112
305,306,112
306,307,112
307,308,112
308,309,112
309,310,112
310,311,112
311,312,112
312,313,112
313,314,112
314,315,112
315,316,112
316,317,112
317,318,112
318,319,112
319,320,112
320,321,112
321,322,112
322,323,112
323,324,112
324,325,112
325,326,112
326,327,112
327,328,112
328,329,112
329,330,112
330,331,112
331,332,112
332,333,112
333,334,112
334,335,112
335,336,112
336,337,112
337,338,112
338,339,112
339,340,112
340,341,112
341,342,112
342,343,111
343,344,111
344,345,111
345,346,111
346,347,111
347,348,111
348,349,111
349,350,111
350,351,111
351,352,111
352,353,111
353,354,111
354,355,111
355,356,111
356,357,111
357,358,111
358,359,111
359,360,111
360,361,111
361,362,111
362,363,111
363,364,111
364,365,111
365,366,111
366,367,111
367,368,111
368,369,111
369,370,111
370,371,111
371,372,111
372,373,111
373,374,111
374,375,111
375,376,111
376,377,111
377,378,111
378,379,111
379,380,111
380,381,111
381,382,111
382,383,111
383,384,110
384,385,110
385,386,110
386,387,110
387,388,110
388,389,110
389,390,110
390,391,110
391,392,110
392,393,110
393,394,110
394,395,110
395,396,110
396,397,110
397,398,110
398,399,110
399,400,109
400,401,109
401,402,109
402,403,109
403,404,109
404,405,109
405,406,109
406,407,109
407,408,109
408,409,109
409,410,109
410,411,109
411,412,109
412,413,109
413,414,109
414,415,109
415,416,109
416,417,109
417,418,109
418,419,109
419,420,109
420,421,109
421,422,109
422,423,109
423,424,109
424,425,109
425,426,109
426,427,109
427,428,109
428,429,109
429,430,109
430,431,109
431,432,109
432,433,109
433,434,109
434,435,109
435,436,109
436,437,109
437,438,109
438,439,109
439,440,109
440,441,109
441,442,109
442,443,109
443,444,109
444,445,109
445,446,109
446,447,109
447,448,109
448,449,109
449,450,109
450,451,109
451,452,109
452,453,109
453,454,109
454,455,109
455,456,109
456,457,109
457,458,109
458,459,109
459,460,109
460,461,109
461,462,109
462,463,109
463,464,109
464,465,109
465,466,109
466,467,109
467,468,109
468,469,109
469,470,109
470,471,109
471,472,109
472,473,109
473,474,109
474,475,109
475,476,109
476,477,109
477,478,109
478,479,109
479,480,109
480,481,109
481,482,109
482,483,109
483,484,109
484,485,109
485,486,109
486,487,108
487,488,108
488,489,108
489,490,108
490,491,108
491,492,108
492,493,108
493,494,108
494,495,108
495,496,108
496,497,108
497,498,108
498,499,108
