,Window,Tuples
0,1,1098
1,2,519
2,3,400
3,4,326
4,5,293
5,6,268
6,7,249
7,8,238
8,9,231
9,10,227
10,11,225
11,12,223
12,13,222
13,14,220
14,15,219
15,16,218
16,17,218
17,18,218
18,19,217
19,20,215
20,21,212
21,22,211
22,23,209
23,24,209
24,25,209
25,26,204
26,27,202
27,28,197
28,29,196
29,30,196
30,31,196
31,32,195
32,33,195
33,34,194
34,35,194
35,36,194
36,37,194
37,38,192
38,39,190
39,40,188
40,41,187
41,42,186
42,43,185
43,44,185
44,45,184
45,46,184
46,47,184
47,48,184
48,49,182
49,50,182
50,51,182
51,52,179
52,53,178
53,54,177
54,55,177
55,56,175
56,57,175
57,58,174
58,59,173
59,60,171
60,61,171
61,62,170
62,63,167
63,64,164
64,65,163
65,66,163
66,67,163
67,68,159
68,69,159
69,70,158
70,71,154
71,72,153
72,73,153
73,74,153
74,75,153
75,76,152
76,77,150
77,78,148
78,79,148
79,80,148
80,81,147
81,82,147
82,83,145
83,84,144
84,85,144
85,86,144
86,87,144
87,88,142
88,89,142
89,90,141
90,91,139
91,92,139
92,93,139
93,94,139
94,95,139
95,96,139
96,97,139
97,98,137
98,99,137
99,100,136
100,101,136
101,102,136
102,103,136
103,104,136
104,105,136
105,106,136
106,107,136
107,108,136
108,109,136
109,110,136
110,111,136
111,112,136
112,113,136
113,114,136
114,115,136
115,116,136
116,117,136
117,118,136
118,119,136
119,120,135
120,121,135
121,122,135
122,123,135
123,124,135
124,125,135
125,126,135
126,127,135
127,128,135
128,129,135
129,130,135
130,131,135
131,132,135
132,133,135
133,134,135
134,135,135
135,136,135
136,137,134
137,138,134
138,139,133
139,140,132
140,141,132
141,142,131
142,143,130
143,144,130
144,145,130
145,146,130
146,147,130
147,148,130
148,149,130
149,150,130
150,151,130
151,152,130
152,153,130
153,154,129
154,155,128
155,156,128
156,157,128
157,158,128
158,159,128
159,160,128
160,161,128
161,162,128
162,163,128
163,164,128
164,165,128
165,166,128
166,167,128
167,168,128
168,169,128
169,170,128
170,171,128
171,172,128
172,173,128
173,174,128
174,175,128
175,176,128
176,177,128
177,178,128
178,179,128
179,180,128
180,181,128
181,182,128
182,183,128
183,184,128
184,185,128
185,186,128
186,187,128
187,188,128
188,189,128
189,190,128
190,191,128
191,192,128
192,193,128
193,194,128
194,195,128
195,196,128
196,197,128
197,198,128
198,199,128
199,200,128
200,201,128
201,202,128
202,203,128
203,204,128
204,205,128
205,206,128
206,207,128
207,208,128
208,209,128
209,210,128
210,211,128
211,212,128
212,213,128
213,214,128
214,215,128
215,216,128
216,217,128
217,218,128
218,219,128
219,220,127
220,221,127
221,222,127
222,223,127
223,224,127
224,225,127
225,226,127
226,227,127
227,228,127
228,229,127
229,230,127
230,231,127
231,232,127
232,233,127
233,234,127
234,235,127
235,236,127
236,237,127
237,238,127
238,239,127
239,240,127
240,241,127
241,242,127
242,243,127
243,244,127
244,245,126
245,246,125
246,247,125
247,248,125
248,249,125
249,250,125
250,251,125
251,252,125
252,253,124
253,254,124
254,255,124
255,256,124
256,257,124
257,258,124
258,259,124
259,260,124
260,261,124
261,262,124
262,263,124
263,264,124
264,265,124
265,266,124
266,267,124
267,268,124
268,269,124
269,270,124
270,271,124
271,272,123
272,273,123
273,274,123
274,275,123
275,276,123
276,277,123
277,278,123
278,279,123
279,280,123
280,281,123
281,282,123
282,283,123
283,284,123
284,285,123
285,286,123
286,287,123
287,288,123
288,289,123
289,290,123
290,291,123
291,292,123
292,293,123
293,294,123
294,295,123
295,296,123
296,297,123
297,298,123
298,299,123
299,300,123
300,301,123
301,302,123
302,303,123
303,304,123
304,305,123
305,306,123
306,307,123
307,308,123
308,309,123
309,310,123
310,311,123
311,312,123
312,313,123
313,314,123
314,315,123
315,316,123
316,317,123
317,318,123
318,319,123
319,320,123
320,321,123
321,322,123
322,323,122
323,324,122
324,325,122
325,326,122
326,327,122
327,328,122
328,329,122
329,330,122
330,331,122
331,332,122
332,333,122
333,334,122
334,335,122
335,336,122
336,337,122
337,338,122
338,339,122
339,340,122
340,341,122
341,342,122
342,343,122
343,344,122
344,345,122
345,346,121
346,347,121
347,348,121
348,349,121
349,350,121
350,351,120
351,352,120
352,353,120
353,354,120
354,355,120
355,356,120
356,357,120
357,358,120
358,359,120
359,360,120
360,361,120
361,362,120
362,363,120
363,364,120
364,365,120
365,366,120
366,367,120
367,368,120
368,369,120
369,370,120
370,371,120
371,372,120
372,373,120
373,374,120
374,375,120
375,376,120
376,377,120
377,378,120
378,379,120
379,380,120
380,381,120
381,382,120
382,383,120
383,384,120
384,385,120
385,386,120
386,387,120
387,388,120
388,389,120
389,390,120
390,391,120
391,392,120
392,393,119
393,394,119
394,395,119
395,396,119
396,397,119
397,398,119
398,399,119
399,400,119
400,401,119
401,402,119
402,403,119
403,404,119
404,405,119
405,406,119
406,407,119
407,408,119
408,409,119
409,410,119
410,411,119
411,412,119
412,413,119
413,414,119
414,415,119
415,416,119
416,417,119
417,418,119
418,419,119
419,420,119
420,421,119
421,422,119
422,423,119
423,424,119
424,425,119
425,426,119
426,427,119
427,428,119
428,429,119
429,430,119
430,431,119
431,432,119
432,433,119
433,434,119
434,435,119
435,436,119
436,437,119
437,438,119
438,439,119
439,440,119
440,441,119
441,442,119
442,443,119
443,444,119
444,445,119
445,446,119
446,447,119
447,448,119
448,449,119
449,450,119
450,451,119
451,452,119
452,453,119
453,454,119
454,455,119
455,456,119
456,457,119
457,458,119
458,459,119
459,460,118
460,461,118
461,462,118
462,463,118
463,464,118
464,465,118
465,466,118
466,467,118
467,468,118
468,469,118
469,470,118
470,471,118
471,472,118
472,473,118
473,474,118
474,475,118
475,476,118
476,477,118
477,478,118
478,479,118
479,480,118
480,481,118
481,482,118
482,483,117
483,484,117
484,485,117
485,486,117
486,487,117
487,488,117
488,489,117
489,490,117
490,491,117
491,492,117
492,493,117
493,494,117
494,495,117
495,496,117
496,497,117
497,498,117
498,499,117
